kanbun,kundoku,modern
"{未}(いま)ダ(ず)<0>解(かい)セ<0>憶(おも)フヲ<2>長安ヲ<1>。","{未だ}長安を憶ふを解せ{ず}。","{まだ}長安(にいる父)のことを気遣うことを知ら{ない}。"
"周ハ{将}(まさ)ニ(す)<0>亡(ほろ)ビ{ント}矣。","周は{将に}亡び{んとす}。","周は{今にも}滅び{ようとする}。"
"{且}(まさ)ニ(す)<0>盗マ{ント}<2>而(なんぢ)ノ城ヲ<1>。","{且に}而の城を盗ま{んとす}。","おまえの国を盗ってやる{つもりだ}。"
"及ンデ<0>時ニ{当}(まさ)ニ(べ)シ<2>勉(べん)励(れい)ス<1>。","時に及んで{当に}勉励す{べし}。","時を逃がさないように、{当然}つとめ励む{べきだ}。"
"知ル汝(なんぢ)ノ遠ク来タル{応}(まさ)ニ(べ)シ<0>有ル<0>意(い　)。","知る汝の遠く来たる{応に}意有る{べし}。","(私は)おまえが遠くから来たのは、{きっと}考えがあってのこと{だろう}とわかっている。"
"惟(た)ダ仁(じん)者(しや)ノミ{宜}(よろ)シク(べ)シ<0>在(あ)ル<2>高位ニ<1>。","惟だ仁者のみ{宜しく}高位に在る{べし}。","ただ仁を身に付けている者だけが高い位に就いている{のが適当だ}。"
"{須}(すべか)ラク(ベ)シ<3>常ニ思フ<2>病(びやう)苦(く)ノ時ヲ<1>。","{須らく}常に病苦の時を思ふ{べし}。","病気で苦しんだ時のことを常に忘れない{ことが必要だ}。"
"過ギタルハ{猶}(な)ホ(ごと)シ<0>不(ざ)ル{ガ}<0>及バ。","過ぎたるは{猶ほ}及ばざる{がごとし}。","行き過ぎるのは、{ちょうど}行き届かないの{と同じようなものだ}。"
"{由}(な)ホ(ごと)シ<2>弓(きゆう)人(じん)ニシテ而恥ヅル{ガ}<1><0>為(つく)ルヲ<0>弓(ゆみ)ヲ。","{由ほ}弓人にして弓を為るを恥づる{がごとし}。","{あたかも}弓を作る人が弓を作るのを恥じる{ようなものだ}。"
"{盍}(なん)ゾ(ざ)ル<3>各(おのおの)言ハ<2>爾(なんぢ)ノ志(こころざし)ヲ<1>。","{盍ぞ}各爾の志を言は{ざる}。","{どうして}それぞれおまえたちの志を言わ{ないのか}、{言えばよい}。"
